;;;;;;;;;;;;;;;;;;;;;;
PRODUCCIÓN METÁLICA ENERO - OCTUBRE 2022;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
METAL;UNIDAD DE MEDIDA;ETAPA;PROCESO;ESTRATO;TITULAR;UNIDAD;REGIÓN;PROVINCIA;DISTRITO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;ACUM. ENE-DIC
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;PROCESADORA COSTA SUR S.A.C.;COSTA SUR;AREQUIPA;CARAVELI;HUANUHUANU; 5.8 ; 5.4 ; 4.2 ; 5.1 ; 4.1 ; 8.0 ; 5.0 ; 4.2 ; -   ; -   ; -   ; -   ; 42 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;SOCIEDAD MINERA DE RECURSOS LINCEARES MAGISTRAL DE HUARAZ S.A.C.;AQUIA;ÁNCASH;BOLOGNESI;AQUIA; -   ; 30.0 ; 46.8 ; -   ; 2.7 ; -   ; 33.0 ; -   ; 48.0 ; -   ; -   ; -   ; 161 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;VELOCHE GROUP S.A.C.;ANGELES X;ICA;ICA;YAUCA DEL ROSARIO; -   ; 44.5 ; 12.3 ; -   ; 18.1 ; -   ; -   ; 27.6 ; -   ; 8.0 ; -   ; -   ; 111 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;ALPAYANA S.A.;BERNA Nº2;LIMA;HUAROCHIRI;CHICLA; 246.0 ; 212.0 ; 300.6 ; 266.1 ; 302.3 ; 293.2 ; 224.8 ; 310.3 ; 204.2 ; 352.0 ; -   ; -   ; 2,712 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;AMG-AUPLATA MINING GROUP PERÚ S.A.C.;ANA MARIA;CUSCO;ESPINAR;SUYCKUTAMBO; 26.5 ; 22.3 ; 28.2 ; 23.8 ; 27.1 ; 21.9 ; 33.3 ; 24.3 ; 27.9 ; -   ; -   ; -   ; 235 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;ANGLO AMERICAN QUELLAVECO S.A.;QUELLAVECO;MOQUEGUA;MARISCAL NIETO;TORATA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20,734.7 ; 20,703.1 ; -   ; -   ; 41,438 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;CATALINA HUANCA SOCIEDAD MINERA S.A.C.;SAN JERONIMO;AYACUCHO;VICTOR FAJARDO;CANARIA; 46.9 ; 58.6 ; 65.9 ; 41.7 ; 44.1 ; 41.4 ; 47.9 ; 51.5 ; 60.4 ; 28.2 ; -   ; -   ; 486 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;CERRO DE PASCO RESOURCES SUBSIDIARIA DEL PERÚ S.A.C.;PLANTA CONCENTRADORA SANTANDER;LIMA;HUARAL;SANTA CRUZ DE ANDAMARCA; 29.0 ; 10.7 ; 10.9 ; 5.9 ; 19.7 ; 20.6 ; 26.8 ; 24.4 ; 22.5 ; 26.9 ; -   ; -   ; 197 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;PLANTA CONC.Y RELAVES;HUANCAVELICA;ANGARAES;CCOCHACCASA; 19.3 ; 19.0 ; 18.5 ; 18.3 ; 15.9 ; 24.6 ; 24.1 ; 18.1 ; 17.4 ; 14.4 ; -   ; -   ; 190 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA ANTAMINA S.A.;HUINCUSH;ÁNCASH;HUARI;SAN MARCOS; 39,383.6 ; 33,473.0 ; 41,954.2 ; 39,406.2 ; 42,428.0 ; 42,643.5 ; 32,658.8 ; 43,379.3 ; 41,273.3 ; 37,024.7 ; -   ; -   ; 393,625 
